Duration,Demand,First Stop,Second Stop,Third Stop,Fourth Stop
7676.389999999999,10.0,Countdown Meadowbank,,,
9300.17,16.0,Countdown Mt Wellington,,,
6623.72,9.0,Countdown Pakuranga,,,
7164.25,9.0,Countdown St Johns,,,
6316.24,6.0,FreshChoice Half Moon Bay,,,
3126.98,5.0,FreshChoice Otahuhu,,,
15084.81,25.0,Countdown Aviemore Drive,Countdown Botany Downs,,
15988.599999999999,25.0,Countdown Aviemore Drive,Countdown Meadowbank,,
14520.17,24.0,Countdown Aviemore Drive,Countdown Pakuranga,,
15319.95,24.0,Countdown Aviemore Drive,Countdown St Johns,,
13334.869999999999,21.0,Countdown Aviemore Drive,FreshChoice Half Moon Bay,,
12573.6,20.0,Countdown Aviemore Drive,FreshChoice Otahuhu,,
15039.23,25.0,Countdown Botany Downs,Countdown Aviemore Drive,,
15406.54,25.0,Countdown Botany Downs,Countdown Howick,,
13564.779999999999,20.0,Countdown Botany Downs,Countdown Meadowbank,,
15224.19,26.0,Countdown Botany Downs,Countdown Mt Wellington,,
12025.95,19.0,Countdown Botany Downs,Countdown Pakuranga,,
12896.119999999999,19.0,Countdown Botany Downs,Countdown St Johns,,
11344.91,16.0,Countdown Botany Downs,FreshChoice Half Moon Bay,,
9869.64,15.0,Countdown Botany Downs,FreshChoice Otahuhu,,
15400.189999999999,25.0,Countdown Howick,Countdown Botany Downs,,
16684.35,25.0,Countdown Howick,Countdown Meadowbank,,
15215.92,24.0,Countdown Howick,Countdown Pakuranga,,
16015.7,24.0,Countdown Howick,Countdown St Johns,,
13837.43,21.0,Countdown Howick,FreshChoice Half Moon Bay,,
13095.9,20.0,Countdown Howick,FreshChoice Otahuhu,,
15955.17,25.0,Countdown Meadowbank,Countdown Aviemore Drive,,
13604.7,20.0,Countdown Meadowbank,Countdown Botany Downs,,
16643.41,25.0,Countdown Meadowbank,Countdown Howick,,
14958.470000000001,26.0,Countdown Meadowbank,Countdown Mt Wellington,,
12440.59,19.0,Countdown Meadowbank,Countdown Pakuranga,,
12216.09,19.0,Countdown Meadowbank,Countdown St Johns,,
12032.61,16.0,Countdown Meadowbank,FreshChoice Half Moon Bay,,
9934.35,15.0,Countdown Meadowbank,FreshChoice Otahuhu,,
15246.49,26.0,Countdown Mt Wellington,Countdown Botany Downs,,
14940.16,26.0,Countdown Mt Wellington,Countdown Meadowbank,,
14110.529999999999,25.0,Countdown Mt Wellington,Countdown Pakuranga,,
14482.16,25.0,Countdown Mt Wellington,Countdown St Johns,,
