,Countdown Airport,Countdown Auckland City,Countdown Aviemore Drive,Countdown Birkenhead,Countdown Blockhouse Bay,Countdown Botany Downs,Countdown Browns Bay,Countdown Glenfield,Countdown Greenlane,Countdown Grey Lynn,Countdown Hauraki Corner,Countdown Henderson,Countdown Hobsonville,Countdown Howick,Countdown Kelston,Countdown Lincoln Road,Countdown Lynfield,Countdown Lynmall,Countdown Mairangi Bay,Countdown Mangere East,Countdown Mangere Mall,Countdown Manukau,Countdown Manurewa,Countdown Meadowbank,Countdown Milford,Countdown Mt Eden,Countdown Mt Roskill,Countdown Mt Wellington,Countdown Newmarket,Countdown Northcote,Countdown Onehunga,Countdown Pakuranga,Countdown Papatoetoe,Countdown Ponsonby,Countdown Pt Chevalier,Countdown Roselands,Countdown St Johns,Countdown St Lukes,Countdown Sunnynook,Countdown Takanini,Countdown Takapuna,Countdown Te Atatu,Countdown Te Atatu South,Countdown Three Kings,Countdown Victoria Street West,Countdown Westgate,Countdown Metro Halsey Street,Distribution Centre Auckland,FreshChoice Half Moon Bay,FreshChoice Mangere Bridge,FreshChoice Otahuhu,FreshChoice Ranui,SuperValue Flatbush,SuperValue Palomino,SuperValue Papakura,SuperValue Titirangi
Countdown Mangere Mall,563.11,1940.26,2225.56,2324.04,1411.77,1709.73,3338.97,2681.81,1777.18,1732.71,2546.85,2135.01,2425.9,2230.6,1854.54,1904.63,1218.93,1543.5,2959.1,335.52,0,963.41,948.03,2111.6,2734.79,1462.66,1204.29,1565.83,1852.12,2313.1,890.63,1982.25,869.98,1685.32,1656.47,1540.16,2126.23,1449.27,2663.59,1338.83,2408.97,1979.06,1728.86,1055.07,1907.46,2078.75,1938.48,436.3,2277.17,458.19,702.08,2279.69,1167.14,2332.43,1705.11,1822.62
Countdown Manukau,1202.03,1675.73,1435.79,2088.09,1873.18,959.2,3103.02,2445.87,1167.51,1795.78,2310.91,2609.63,2900.52,1480.08,2315.94,2379.25,1680.33,2004.9,2723.16,870.93,930.51,0,686.85,1501.93,2498.84,1572.43,1665.7,956.15,1477.39,2077.16,1352.04,1372.58,439.2,1663.36,1797.72,1054.59,1516.55,1876.73,2427.64,853.26,2173.02,2453.68,2203.48,1516.47,1618.91,2553.36,1834.62,1224.54,1715.63,1054.68,755.37,2754.3,416.61,2807.05,1219.54,2284.03
Countdown Manurewa,1164.76,2214.44,1832.86,2626.8,1835.9,1356.27,3641.73,2984.58,1706.22,2156.84,2849.61,2559.15,2850.03,1877.14,2278.67,2328.76,1643.06,1967.63,3261.86,833.66,893.23,748.73,0,2040.64,3037.55,1886.79,1628.43,1494.86,2016.1,2615.86,1314.77,1911.28,914,2109.46,2080.6,1108.76,2055.26,1873.4,2966.35,918.05,2711.73,2403.19,2152.99,1479.2,2157.61,2502.88,2373.33,1187.26,2206.2,1017.41,1294.08,2703.82,813.68,2756.56,1317.96,2246.75
Countdown Meadowbank,1804.89,1164.88,1402.39,1577.24,1912.39,1464.06,2592.17,1935.02,620.01,1284.92,1800.05,2098.78,2389.66,1767.61,2025.6,1868.39,1848.3,1813.16,2212.3,1569.45,2056.97,1400.53,1959.9,0,1987.99,1061.57,1733.6,612.52,966.54,1566.3,1007.05,1029.99,1346.64,1152.51,1286.87,2112.35,461.34,1365.88,1916.79,1911.03,1662.17,1942.83,1692.63,1163.67,1108.05,2042.51,1323.77,1585.32,1454,1352.78,1156.94,2243.45,1520.52,2296.19,2277.31,2323.25
Countdown Milford,2722.22,1326.91,2654.37,968.6,2154.77,2587.39,1031.05,740.37,1520.87,1068.74,465.2,2341.15,1510.94,3019.59,2267.98,2012.38,2090.68,2055.54,514.32,2582.7,2689.91,2377.12,2936.49,1884.81,0,1572.3,1975.98,1906.74,1284.11,671.36,2172.41,2181.47,2323.23,1247.61,1529.24,3088.95,2372.68,1608.25,533.88,2887.62,394.15,2246.76,1935,1754.96,1203.68,1717.68,1030.65,2473.02,2705.98,2270.11,2133.53,2387.44,2497.11,2440.18,3253.9,2565.62
Countdown Mt Eden,1493.25,837.71,1862.74,1250.07,1341.44,1795.76,2265,1607.85,550.06,660,1472.88,1527.83,1818.71,2227.96,1454.65,1297.44,979.34,1127.83,1885.13,1353.73,1460.94,1585.49,2144.86,1093.19,1660.82,0,628.13,1115.11,443.58,1239.13,943.44,1389.84,1531.6,465.09,639.79,2297.32,1581.05,372.18,1589.62,2095.99,1335,1371.88,1121.68,552.51,607.73,1471.56,996.6,1244.05,1914.35,1041.14,1341.9,1672.5,1705.48,1725.24,2462.27,1752.3
Countdown Mt Roskill,1228.32,1284.22,2185.58,1668,708.35,2398.61,2682.92,2025.77,933.54,1076.67,1890.81,1478.97,1769.86,2550.8,1108.24,1248.59,564.47,797.2,2303.06,1088.8,1196.01,1652.29,1636.91,1796.78,2078.75,627.94,0,1818.7,914.23,1657.06,678.51,1712.69,1558.86,847.05,669.24,2229.04,1903.9,394.7,2007.55,2027.72,1752.93,1323.02,1072.82,429.56,1251.42,1422.7,1282.44,979.12,2237.2,776.21,1382.82,1623.64,1856.02,1676.39,2393.99,1119.2
Countdown Mt Wellington,1798.05,1172.56,1018.6,1584.93,1920.08,951.63,2599.85,1942.7,664.35,1292.61,1807.74,2106.47,2397.35,1383.82,2033.29,1876.08,1855.99,1820.85,2219.99,1039.02,1526.53,870.09,1429.46,609.55,1995.67,1069.26,1741.29,0,974.23,1573.99,828.11,545.71,816.2,1160.19,1294.55,1581.92,573.19,1373.56,1924.48,1380.59,1669.86,1950.51,1700.31,1171.36,1115.74,2050.2,1331.46,1054.88,1070.22,1650.7,626.5,2251.14,990.08,2303.88,1746.87,2330.93
Countdown Newmarket,1868.89,553.92,1614.65,966.28,1301.44,1547.67,1981.21,1324.06,396.61,673.97,1189.1,1487.83,1778.71,1979.86,1414.65,1257.44,1237.35,1202.21,1601.35,1729.37,1836.58,1337.4,1896.76,845.09,1377.03,372.24,1122.65,867.02,0,955.35,1319.08,1141.75,1283.51,541.55,675.91,2049.22,1332.96,754.92,1305.84,1847.9,1051.22,1331.87,1081.67,598.3,497.1,1431.56,712.82,1619.69,1666.26,1416.79,1093.81,1632.5,1457.39,1685.24,2214.18,1712.29
Countdown Northcote,2411.4,1016.09,2343.55,371.39,1843.95,2276.57,1367.36,513.35,1210.05,757.92,601.72,2030.33,1341.27,2708.77,1957.16,1799.95,1779.86,1744.72,987.5,2271.88,2379.09,2066.3,2625.67,1573.99,707.61,1261.48,1665.16,1595.92,973.29,0,1861.59,1870.65,2012.41,936.79,1218.42,2778.13,2061.86,1297.43,691.99,2576.8,463.83,1874.38,1624.18,1444.14,892.86,1548,719.83,2162.2,2395.16,1959.29,1822.71,2175,2186.29,2227.75,2943.08,2254.8
Countdown Onehunga,839.23,1596.49,1569.87,1660.22,1067.99,1502.89,2675.15,2017.99,631.46,1388.93,1883.03,1791.24,2082.12,1935.09,1510.76,1560.85,875.15,1199.72,2295.28,699.71,806.92,1263.2,1247.82,1003.01,2070.97,849.74,860.52,815.49,856.66,1649.28,0,1096.97,1169.77,1341.55,1312.69,1839.95,1288.18,1105.49,1999.77,1638.63,1745.15,1635.28,1385.08,477.43,1563.69,1734.97,1406.75,590.03,1621.48,387.12,993.72,1935.91,1466.93,1988.65,2004.9,1478.84
Countdown Pakuranga,1842.88,1445.1,734.7,1857.46,2192.61,665.44,2872.39,2215.24,936.88,1565.15,2080.27,2379,2669.88,1099.92,2305.82,2148.61,2128.52,2093.39,2492.52,1297.25,2031.22,1374.78,1934.14,1034.83,2268.21,1341.8,2013.82,566.59,1246.76,1846.52,1059.85,0,1320.89,1432.73,1567.09,2086.6,787.82,1646.1,2197.01,1885.28,1942.39,2223.05,1972.85,1443.89,1388.27,2322.73,1603.99,1269.53,786.31,1390.77,917.98,2523.67,1249.34,2576.41,2251.55,2603.47
Countdown Papatoetoe,1149.16,1531.29,1512.95,1943.65,1820.3,1036.36,2958.58,2301.43,1023.08,1651.34,2166.47,2465.2,2756.08,1557.24,2392.02,2234.81,1627.46,1952.03,2578.72,587.87,877.64,430.47,899.44,1357.5,2354.4,1427.99,1612.83,811.72,1332.95,1932.72,1299.17,1228.14,0,1518.92,1653.28,1258.43,1372.12,1732.29,2283.21,1057.11,2028.59,2309.24,2059.04,1463.6,1474.47,2408.93,1690.19,839.32,1523.06,1001.81,610.93,2609.87,487.62,2662.61,1423.38,2231.16
Countdown Ponsonby,1778.06,812.44,1857.88,819.62,1210.6,1790.9,1834.55,1177.4,724.38,235.95,1042.44,1396.99,1808.46,2223.1,1323.81,1166.6,1146.51,1111.37,1454.69,1638.54,1745.75,1580.63,2140,1088.33,1230.37,481.47,824.63,1110.25,487.62,808.69,1228.24,1384.98,1526.74,0,504.76,2292.46,1576.19,518.91,1159.18,2091.14,904.55,1241.04,990.84,958.47,419.2,1340.72,566.15,1528.86,1909.49,1325.95,1337.04,1541.66,1700.62,1594.4,2457.41,1621.46
Countdown Pt Chevalier,1647.32,825.28,2107.39,1209.05,824.14,2040.41,2223.98,1566.83,973.89,535.76,1431.86,1107.83,1398.71,2472.61,995.64,877.44,852.06,792.79,1844.11,1507.8,1615.02,1830.14,2055.92,1337.83,1619.8,624.74,669.29,1359.76,737.13,1198.11,1097.51,1634.49,1776.25,507.45,0,2541.97,1825.7,497.93,1548.6,2340.64,1293.98,951.87,701.67,1091.72,792.47,1051.56,823.49,1398.13,2159,1195.22,1586.55,1252.5,1950.13,1305.24,2706.92,1265.62
Countdown Roselands,1974.03,2552.13,2176.3,2964.49,2645.17,1699.71,3979.42,3322.27,2043.91,2672.17,3187.3,3486.03,3776.91,2268.3,3087.94,3255.64,2452.33,2776.9,3599.55,1642.93,1702.51,1326.92,1082.01,2378.33,3375.24,2448.82,2437.7,1832.55,2353.79,2953.55,2124.04,2248.97,1462.63,2539.76,2674.12,0,2392.95,2753.13,3304.04,330.56,3049.42,3330.08,3079.88,2288.47,2495.3,3429.76,2711.02,1996.53,2543.89,1826.68,1631.77,3630.7,1161.53,3683.44,216.87,3056.03
