,Countdown Airport,Countdown Auckland City,Countdown Aviemore Drive,Countdown Birkenhead,Countdown Blockhouse Bay,Countdown Botany Downs,Countdown Browns Bay,Countdown Glenfield,Countdown Greenlane,Countdown Grey Lynn,Countdown Hauraki Corner,Countdown Henderson,Countdown Hobsonville,Countdown Howick,Countdown Kelston,Countdown Lincoln Road,Countdown Lynfield,Countdown Lynmall,Countdown Mairangi Bay,Countdown Mangere East,Countdown Mangere Mall,Countdown Manukau,Countdown Manurewa,Countdown Meadowbank,Countdown Milford,Countdown Mt Eden,Countdown Mt Roskill,Countdown Mt Wellington,Countdown Newmarket,Countdown Northcote,Countdown Onehunga,Countdown Pakuranga,Countdown Papatoetoe,Countdown Ponsonby,Countdown Pt Chevalier,Countdown Roselands,Countdown St Johns,Countdown St Lukes,Countdown Sunnynook,Countdown Takanini,Countdown Takapuna,Countdown Te Atatu,Countdown Te Atatu South,Countdown Three Kings,Countdown Victoria Street West,Countdown Westgate,Countdown Metro Halsey Street,Distribution Centre Auckland,FreshChoice Half Moon Bay,FreshChoice Mangere Bridge,FreshChoice Otahuhu,FreshChoice Ranui,SuperValue Flatbush,SuperValue Palomino,SuperValue Papakura,SuperValue Titirangi
Countdown Metro Halsey Street,2006.38,375.63,2092.42,722.17,1438.93,2025.44,1737.1,1079.95,958.92,466.08,944.99,1625.31,1711.01,2457.64,1552.13,1394.93,1374.83,1339.7,1357.24,1866.86,1974.07,1815.17,2374.54,1322.87,1132.92,1010.35,1260.13,1344.79,722.16,711.24,1456.57,1619.52,1761.28,425.68,813.4,2527,1810.73,892.41,1061.72,2325.68,807.1,1469.36,1219.16,1193.01,276.02,1569.04,0,1757.18,2144.03,1554.27,1571.58,1769.98,1935.16,1822.72,2691.95,1849.78
Distribution Centre Auckland,984.77,1883.99,1777.09,2177.23,1355.5,1562.11,3192.15,2535,1256.65,1676.44,2400.04,2078.75,2369.63,2053.21,1798.27,1848.36,1162.66,1487.23,2812.29,428.08,436.11,1131.88,1116.5,1591.07,2587.98,1406.39,1148.02,1045.29,1566.53,2166.29,834.36,1304.19,845.96,1629.06,1600.2,1708.63,1500.57,1393,2516.78,1507.31,2262.16,1922.79,1672.59,998.8,1851.19,2022.48,1923.76,0,1828.7,458.2,440.64,2223.42,1335.61,2276.16,1873.58,1766.35
FreshChoice Half Moon Bay,2360.89,1963.1,325.76,2375.47,2710.62,807.8,3390.39,2733.24,1454.89,2083.15,2598.28,2897.01,3187.89,604.8,2823.83,2666.62,2646.53,2611.39,3010.53,1815.26,2301.02,1673.74,2203.95,1452.02,2786.21,1859.8,2531.83,1084.6,1764.77,2364.53,1577.86,749.37,1625.3,1950.73,2085.09,2356.41,1205,2164.1,2715.02,2155.08,2460.4,2741.05,2490.85,1961.9,1906.28,2840.74,2122,1787.54,0,1908.78,1435.99,3041.68,1433.86,3094.42,2521.36,3121.47
FreshChoice Mangere Bridge,725.89,1530.3,1904.51,1914.07,1001.8,1894.9,2929,2271.85,1093.01,1322.74,2136.88,1725.05,2015.93,2415.78,1444.57,1494.66,808.96,1133.53,2549.14,585.09,464.4,1148.58,1133.2,1412.32,2324.82,1052.69,794.33,1181.93,1442.15,1903.13,480.67,1431.61,1055.15,1275.36,1246.5,1725.33,1622.82,1039.3,2253.62,1524.01,1999,1569.09,1318.89,645.1,1497.49,1668.78,1528.52,436.43,1956.12,0,840.13,1869.72,1352.31,1922.46,1890.28,1412.66
FreshChoice Otahuhu,1079.09,1331.71,1424.63,1744.07,1711.67,1103.09,2759,2101.85,823.5,1451.76,1966.89,2265.62,2556.5,1594.19,2192.44,2035.23,1518.83,1980,2379.14,412.51,701.81,719.73,1279.09,1157.92,2154.82,1228.41,1504.2,612.14,1133.38,1733.14,930.43,951.73,545.68,1319.34,1453.7,1431.55,1172.54,1532.71,2083.63,1230.23,1829.01,2109.66,1859.46,1330.51,1274.89,2209.35,1490.61,436.34,1476.24,814.37,0,2410.29,839.72,2463.03,1596.51,2122.53
FreshChoice Ranui,2395.68,1777.01,3059.12,2160.78,1828.23,2992.14,2394.6,2111.63,1925.62,1569.45,2341.85,656.18,1233.61,3424.34,1261.81,435.01,1764.14,1568.54,1983.64,2256.16,2363.37,2781.87,2804.28,2289.56,2358.76,1742.83,1649.44,2311.49,1688.86,2207.43,1845.87,2586.22,2727.98,1522.07,1256.77,3493.7,2777.43,1617.12,1859.26,3292.37,2203.97,1030.46,652.11,1840.08,1744.2,886.46,1775.23,2146.48,3110.73,1943.57,2538.28,0,2901.86,453.88,3658.65,1489.65
SuperValue Flatbush,1337.59,1771.4,1099.34,2183.77,2008.74,622.75,3198.7,2541.54,1263.19,1891.45,2406.58,2705.31,2996.19,1143.63,2451.5,2474.92,1815.89,2140.46,2818.83,1006.49,1066.07,339.08,969,1597.61,2594.52,1668.1,1801.26,1051.83,1573.07,2172.83,1487.6,1214.08,503.59,1759.04,1893.4,1155.12,1612.23,1972.4,2523.32,953.8,2268.7,2549.35,2299.16,1652.03,1714.58,2649.04,1930.3,1360.09,1379.19,1190.24,851.04,2849.98,0,2902.72,1320.07,2419.59
SuperValue Palomino,2500.64,1881.96,3164.08,2265.74,1540.88,3097.1,2499.56,2216.59,2030.58,1674.41,2446.8,418.3,1338.57,3529.3,985.43,539.97,1869.1,1228.63,2088.6,2361.12,2468.33,2886.83,2909.23,2394.52,2463.71,1847.78,1754.4,2416.45,1793.82,2312.38,1950.83,2691.18,2832.94,1627.03,1361.73,3598.66,2882.39,1722.08,1964.22,3397.33,2308.92,1135.42,694.72,1945.04,1849.16,991.42,1880.18,2251.44,3215.69,2048.53,2643.24,491.71,3006.82,0,3763.61,1136.82
SuperValue Papakura,1980.76,2558.86,2499.02,2971.23,2651.91,2115.15,3986.15,3329,2050.65,2678.91,3194.04,3492.77,3783.65,2636.02,3094.68,3262.38,2459.07,2783.64,3606.29,1649.66,1709.24,1333.66,1612.17,2385.07,3381.97,2455.56,2444.43,1839.29,2360.53,2960.29,2130.77,2255.71,1469.36,2546.49,2680.85,213.24,2399.69,2759.86,3310.78,543.81,3056.16,3336.81,3086.61,2295.21,2502.04,3436.5,2717.76,2003.27,2550.63,1833.42,1638.5,3637.44,1471.33,3690.18,0,3062.76
SuperValue Titirangi,1919.72,1837.11,3119.22,2220.88,553.79,3090.01,3235.81,2578.66,1985.72,1629.56,2443.7,921.13,2122.91,3484.44,444.82,1317.77,817.09,608.17,2872.94,1780.2,1887.41,2343.69,2328.31,2349.67,2631.63,1533.06,1133.86,2371.59,1748.96,2209.95,1369.91,2646.32,2250.26,1582.17,1262.75,2920.44,2837.53,1253.75,2560.44,2719.12,2305.82,1676.07,1086.54,1364.11,1804.31,1775.75,1835.33,1670.52,3170.83,1467.61,2074.22,1510.99,2547.42,1163.58,3085.39,0
