Duration,Demand,First Stop,Second Stop,Third Stop,Fourth Stop
13260.09,20.0,Countdown Roselands,Countdown Manukau,,
13003.66,20.0,Countdown Roselands,Countdown Manukau Mall,,
12977.900000000001,20.0,Countdown Roselands,Countdown Manurewa,,
11952.720000000001,18.0,Countdown Roselands,Countdown Papakura,,
13910.58,22.0,Countdown Roselands,Countdown Papatoetoe,,
12711.279999999999,20.0,Countdown Roselands,Countdown Takanini,,
11430.25,16.0,Countdown Roselands,SuperValue Flatbush,,
10678.77,15.0,Countdown Roselands,SuperValue Papakura,,
12486.23,19.0,Countdown Takanini,Countdown Airport,,
11809.5,19.0,Countdown Takanini,Countdown Mangere East,,
11421.68,18.0,Countdown Takanini,Countdown Mangere Mall,,
12734.33,20.0,Countdown Takanini,Countdown Manukau,,
12477.9,20.0,Countdown Takanini,Countdown Manukau Mall,,
12603.09,20.0,Countdown Takanini,Countdown Manurewa,,
12012.75,18.0,Countdown Takanini,Countdown Papakura,,
13384.82,22.0,Countdown Takanini,Countdown Papatoetoe,,
12815.720000000001,20.0,Countdown Takanini,Countdown Roselands,,
11207.560000000001,16.0,Countdown Takanini,SuperValue Flatbush,,
10789.33,15.0,Countdown Takanini,SuperValue Papakura,,
10202.529999999999,15.0,SuperValue Flatbush,Countdown Airport,,
9525.8,15.0,SuperValue Flatbush,Countdown Mangere East,,
9137.98,14.0,SuperValue Flatbush,Countdown Mangere Mall,,
10099.23,16.0,SuperValue Flatbush,Countdown Manukau,,
10081.41,16.0,SuperValue Flatbush,Countdown Manukau Mall,,
10691.869999999999,16.0,SuperValue Flatbush,Countdown Manurewa,,
10894.720000000001,14.0,SuperValue Flatbush,Countdown Papakura,,
10778.52,18.0,SuperValue Flatbush,Countdown Papatoetoe,,
11687.259999999998,16.0,SuperValue Flatbush,Countdown Roselands,,
11161.5,16.0,SuperValue Flatbush,Countdown Takanini,,
9608.95,11.0,SuperValue Flatbush,SuperValue Papakura,,
10933.67,14.0,SuperValue Papakura,Countdown Airport,,
10256.939999999999,14.0,SuperValue Papakura,Countdown Mangere East,,
9869.119999999999,13.0,SuperValue Papakura,Countdown Mangere Mall,,
11181.779999999999,15.0,SuperValue Papakura,Countdown Manukau,,
10925.34,15.0,SuperValue Papakura,Countdown Manukau Mall,,
11423.01,15.0,SuperValue Papakura,Countdown Manurewa,,
9902.27,13.0,SuperValue Papakura,Countdown Papakura,,
11832.259999999998,17.0,SuperValue Papakura,Countdown Papatoetoe,,
10833.349999999999,15.0,SuperValue Papakura,Countdown Roselands,,
10839.48,15.0,SuperValue Papakura,Countdown Takanini,,
9655.0,11.0,SuperValue Papakura,SuperValue Flatbush,,
13951.91,26.0,Countdown Airport,Countdown Mangere Mall,Countdown Mangere East,
12003.09,23.0,Countdown Mangere East,Countdown Mangere Mall,FreshChoice Mangere Bridge,
11521.130000000001,22.0,Countdown Mangere Mall,Countdown Mangere East,FreshChoice Otahuhu,
14794.61,26.0,Countdown Manukau,Countdown Manukau Mall,SuperValue Flatbush,
14686.33,26.0,Countdown Manukau Mall,Countdown Manukau,SuperValue Flatbush,
14553.75,23.0,Countdown Papakura,Countdown Roselands,SuperValue Papakura,
14445.19,23.0,Countdown Roselands,Countdown Papakura,SuperValue Papakura,
14661.55,26.0,SuperValue Flatbush,Countdown Manukau,Countdown Manukau Mall,
14569.79,23.0,SuperValue Papakura,Countdown Papakura,Countdown Roselands,
7988.8,10.0,Countdown Aviemore Drive,,,
7611.68,10.0,Countdown Botany Downs,,,
7607.95,9.0,Countdown Highland Park,,,
8587.94,10.0,Countdown Howick,,,
7676.389999999999,10.0,Countdown Meadowbank,,,
8113.84,10.0,Countdown Meadowlands,,,
7050.17,11.0,Countdown Mt Wellington,,,
6623.72,9.0,Countdown Pakuranga,,,
7164.25,9.0,Countdown St Johns,,,
6434.25,10.0,Countdown Sylvia Park,,,
6316.24,6.0,FreshChoice Half Moon Bay,,,
3126.98,5.0,FreshChoice Otahuhu,,,
12834.81,20.0,Countdown Aviemore Drive,Countdown Botany Downs,,
12159.26,19.0,Countdown Aviemore Drive,Countdown Highland Park,,
13203.14,20.0,Countdown Aviemore Drive,Countdown Howick,,
13738.599999999999,20.0,Countdown Aviemore Drive,Countdown Meadowbank,,
12990.77,20.0,Countdown Aviemore Drive,Countdown Meadowlands,,
13290.74,21.0,Countdown Aviemore Drive,Countdown Mt Wellington,,
12270.17,19.0,Countdown Aviemore Drive,Countdown Pakuranga,,
13069.95,19.0,Countdown Aviemore Drive,Countdown St Johns,,
12913.01,20.0,Countdown Aviemore Drive,Countdown Sylvia Park,,
11084.869999999999,16.0,Countdown Aviemore Drive,FreshChoice Half Moon Bay,,
10323.6,15.0,Countdown Aviemore Drive,FreshChoice Otahuhu,,
12789.23,20.0,Countdown Botany Downs,Countdown Aviemore Drive,,
12419.869999999999,19.0,Countdown Botany Downs,Countdown Highland Park,,
13156.54,20.0,Countdown Botany Downs,Countdown Howick,,
13564.779999999999,20.0,Countdown Botany Downs,Countdown Meadowbank,,
12682.439999999999,20.0,Countdown Botany Downs,Countdown Meadowlands,,
12974.19,21.0,Countdown Botany Downs,Countdown Mt Wellington,,
12025.95,19.0,Countdown Botany Downs,Countdown Pakuranga,,
12896.119999999999,19.0,Countdown Botany Downs,Countdown St Johns,,
12596.45,20.0,Countdown Botany Downs,Countdown Sylvia Park,,
11344.91,16.0,Countdown Botany Downs,FreshChoice Half Moon Bay,,
9869.64,15.0,Countdown Botany Downs,FreshChoice Otahuhu,,
12138.11,19.0,Countdown Highland Park,Countdown Aviemore Drive,,
12481.99,19.0,Countdown Highland Park,Countdown Botany Downs,,
12828.48,19.0,Countdown Highland Park,Countdown Howick,,
13357.75,19.0,Countdown Highland Park,Countdown Meadowbank,,
12595.66,19.0,Countdown Highland Park,Countdown Meadowlands,,
12909.89,20.0,Countdown Highland Park,Countdown Mt Wellington,,
11889.32,18.0,Countdown Highland Park,Countdown Pakuranga,,
12689.1,18.0,Countdown Highland Park,Countdown St Johns,,
12532.15,19.0,Countdown Highland Park,Countdown Sylvia Park,,
10704.02,15.0,Countdown Highland Park,FreshChoice Half Moon Bay,,
9942.74,14.0,Countdown Highland Park,FreshChoice Otahuhu,,
13210.5,20.0,Countdown Howick,Countdown Aviemore Drive,,
13150.189999999999,20.0,Countdown Howick,Countdown Botany Downs,,
12823.58,19.0,Countdown Howick,Countdown Highland Park,,
14434.349999999999,20.0,Countdown Howick,Countdown Meadowbank,,
13132.76,20.0,Countdown Howick,Countdown Meadowlands,,
13986.49,21.0,Countdown Howick,Countdown Mt Wellington,,
12965.92,19.0,Countdown Howick,Countdown Pakuranga,,
13765.7,19.0,Countdown Howick,Countdown St Johns,,
13608.75,20.0,Countdown Howick,Countdown Sylvia Park,,
11587.43,16.0,Countdown Howick,FreshChoice Half Moon Bay,,
10845.9,15.0,Countdown Howick,FreshChoice Otahuhu,,
13705.17,20.0,Countdown Meadowbank,Countdown Aviemore Drive,,
13604.7,20.0,Countdown Meadowbank,Countdown Botany Downs,,
13324.33,19.0,Countdown Meadowbank,Countdown Highland Park,,
14393.41,20.0,Countdown Meadowbank,Countdown Howick,,
14052.630000000001,20.0,Countdown Meadowbank,Countdown Meadowlands,,
12708.470000000001,21.0,Countdown Meadowbank,Countdown Mt Wellington,,
12440.59,19.0,Countdown Meadowbank,Countdown Pakuranga,,
12216.09,19.0,Countdown Meadowbank,Countdown St Johns,,
12341.58,20.0,Countdown Meadowbank,Countdown Sylvia Park,,
12032.61,16.0,Countdown Meadowbank,FreshChoice Half Moon Bay,,
9934.35,15.0,Countdown Meadowbank,FreshChoice Otahuhu,,
12957.44,20.0,Countdown Meadowlands,Countdown Aviemore Drive,,
12676.09,20.0,Countdown Meadowlands,Countdown Botany Downs,,
12558.04,19.0,Countdown Meadowlands,Countdown Highland Park,,
13154.65,20.0,Countdown Meadowlands,Countdown Howick,,
14016.74,20.0,Countdown Meadowlands,Countdown Meadowbank,,
13476.36,21.0,Countdown Meadowlands,Countdown Mt Wellington,,
12528.11,19.0,Countdown Meadowlands,Countdown Pakuranga,,
13348.09,19.0,Countdown Meadowlands,Countdown St Johns,,
13098.619999999999,20.0,Countdown Meadowlands,Countdown Sylvia Park,,
11527.56,16.0,Countdown Meadowlands,FreshChoice Half Moon Bay,,
10371.8,15.0,Countdown Meadowlands,FreshChoice Otahuhu,,
13225.6,21.0,Countdown Mt Wellington,Countdown Aviemore Drive,,
12996.49,21.0,Countdown Mt Wellington,Countdown Botany Downs,,
12844.759999999998,20.0,Countdown Mt Wellington,Countdown Highland Park,,
13913.84,21.0,Countdown Mt Wellington,Countdown Howick,,
12690.16,21.0,Countdown Mt Wellington,Countdown Meadowbank,,
13498.65,21.0,Countdown Mt Wellington,Countdown Meadowlands,,
11860.529999999999,20.0,Countdown Mt Wellington,Countdown Pakuranga,,
12232.16,20.0,Countdown Mt Wellington,Countdown St Johns,,
11651.279999999999,21.0,Countdown Mt Wellington,Countdown Sylvia Park,,
11553.05,17.0,Countdown Mt Wellington,FreshChoice Half Moon Bay,,
9308.130000000001,16.0,Countdown Mt Wellington,FreshChoice Otahuhu,,
12300.6,19.0,Countdown Pakuranga,Countdown Aviemore Drive,,
12069.2,19.0,Countdown Pakuranga,Countdown Botany Downs,,
11919.75,18.0,Countdown Pakuranga,Countdown Highland Park,,
